Disease,Symptoms,Precaution,,,,,,,,,,,,,,,,,,,,,,,,,
Obsessive-Compulsive Disorder (OCD),repetitive_behaviors,Avoid reinforcing rituals; practice response delay strategies.,,,,,,,,,,,,,,,,,,,,,,,,,
Obsessive-Compulsive Disorder (OCD),excessive_fear_of_mistakes,Challenge perfectionistic thinking using CBT.,,,,,,,,,,,,,,,,,,,,,,,,,
Obsessive-Compulsive Disorder (OCD),required_perfectness,Focus on progress over perfection; set realistic expectations.,,,,,,,,,,,,,,,,,,,,,,,,,
Obsessive-Compulsive Disorder (OCD),time_consuming_rituals,Use timers and scheduling to reduce ritual duration.,,,,,,,,,,,,,,,,,,,,,,,,,
Obsessive-Compulsive Disorder (OCD),severe_anxiety,Engage in mindfulness and deep breathing exercises regularly.,,,,,,,,,,,,,,,,,,,,,,,,,
Obsessive-Compulsive Disorder (OCD),avoidance_of_situations_that_trigger_obsession,Gradually expose yourself to feared situations under supervision.,,,,,,,,,,,,,,,,,,,,,,,,,
Obsessive-Compulsive Disorder (OCD),depressive_thoughts,Maintain a consistent daily routine and stay socially engaged.,,,,,,,,,,,,,,,,,,,,,,,,,
Obsessive-Compulsive Disorder (OCD),difficulty_concentrating,Practice focus exercises and take regular breaks.,,,,,,,,,,,,,,,,,,,,,,,,,
Obsessive-Compulsive Disorder (OCD),sleep_problem_from_obsessive_thinking,Use bedtime journaling and relaxation techniques to calm your mind.,,,,,,,,,,,,,,,,,,,,,,,,,
Eating Disorder,changes_in_body_weight_shape,Maintain a balanced diet and regularly monitor eating habits.,,,,,,,,,,,,,,,,,,,,,,,,,
Eating Disorder,extreme_restriction_of_food_intake,Practice mindful eating and consult a dietitian.,,,,,,,,,,,,,,,,,,,,,,,,,
Eating Disorder,eating_large_amount_of_food,Establish portion control and structured meal times.,,,,,,,,,,,,,,,,,,,,,,,,,
Eating Disorder,vomiting,Seek medical evaluation for underlying causes and avoid purging.,,,,,,,,,,,,,,,,,,,,,,,,,
Eating Disorder,significant_weight_loss,Track weight changes and increase nutrient intake if needed.,,,,,,,,,,,,,,,,,,,,,,,,,
Eating Disorder,significant_weight_gain,Avoid stress-eating by maintaining a routine and choosing healthy snacks.,,,,,,,,,,,,,,,,,,,,,,,,,
Eating Disorder,change_body_image,Limit social media exposure and practice body neutrality or self-acceptance.,,,,,,,,,,,,,,,,,,,,,,,,,
Eating Disorder,fear_of_gaining_weight,Work with a therapist to challenge distorted beliefs about body and weight.,,,,,,,,,,,,,,,,,,,,,,,,,
Eating Disorder,social_isolation,Gradually reintroduce social activities in safe and supportive environments.,,,,,,,,,,,,,,,,,,,,,,,,,
Eating Disorder,mood_changes,Maintain a mood journal and share observations with a mental health expert.,,,,,,,,,,,,,,,,,,,,,,,,,
Social Anxiety Disorder,intense_fear_of_social_situations,Practice graded exposure therapy in low-pressure environments.,,,,,,,,,,,,,,,,,,,,,,,,,
Social Anxiety Disorder,avoidance_of_social_activity,Start with low-risk social tasks like short phone conversations.,,,,,,,,,,,,,,,,,,,,,,,,,
Social Anxiety Disorder,physical_symptoms_in_social_settings,Learn and practice deep breathing or progressive muscle relaxation.,,,,,,,,,,,,,,,,,,,,,,,,,
Social Anxiety Disorder,rapid_heartbeat_during_social_interactions,Use paced breathing techniques to calm physiological responses.,,,,,,,,,,,,,,,,,,,,,,,,,
Social Anxiety Disorder,excessive_fear_of_embarrassment,Challenge negative self-thoughts with evidence-based affirmations.,,,,,,,,,,,,,,,,,,,,,,,,,
Social Anxiety Disorder,difficulty_speaking,Rehearse conversations through journaling or with a trusted friend.,,,,,,,,,,,,,,,,,,,,,,,,,
Social Anxiety Disorder,difficulty_making_eye_contact,Practice eye contact in front of a mirror or with close companions.,,,,,,,,,,,,,,,,,,,,,,,,,
Social Anxiety Disorder,low_self-esteem,Engage in self-appreciation exercises and track achievements.,,,,,,,,,,,,,,,,,,,,,,,,,
Social Anxiety Disorder,avoid_eating_in_public,"Try eating in a quiet, familiar setting with a trusted person.",,,,,,,,,,,,,,,,,,,,,,,,,
Social Anxiety Disorder,significant_distress_in_daily_life,Create a structured daily plan with time for rest and social exposure.,,,,,,,,,,,,,,,,,,,,,,,,,
Borderline Personality Disorder,intense_fear_of_abandonment,Build trust through regular check-ins with loved ones or a therapist.,,,,,,,,,,,,,,,,,,,,,,,,,
Borderline Personality Disorder,unstable_interpersonal_relationship,Practice assertive communication and emotional boundaries.,,,,,,,,,,,,,,,,,,,,,,,,,
Borderline Personality Disorder,identity_disturbance,Journal about self-image and values; discuss with a therapist regularly.,,,,,,,,,,,,,,,,,,,,,,,,,
Borderline Personality Disorder,impulsive_behavior,"Use a ""pause and reflect"" strategy before taking action.",,,,,,,,,,,,,,,,,,,,,,,,,
Borderline Personality Disorder,"recurrent_suicidal_behavior,self_harm",Create a safety plan and stay in contact with crisis support professionals.,,,,,,,,,,,,,,,,,,,,,,,,,
Borderline Personality Disorder,emotional_instability,"Use emotion regulation tools like the DBT skill “TIPP” (Temperature, Intense Exercise, Paced breathing, Paired muscle relaxation).",,,,,,,,,,,,,,,,,,,,,,,,,
Borderline Personality Disorder,chronic_feeling_of_emptiness,Engage in meaningful routines or volunteer activities.,,,,,,,,,,,,,,,,,,,,,,,,,
Borderline Personality Disorder,intense_anger,"Use physical outlets (e.g., walking, squeezing stress balls) to release anger.",,,,,,,,,,,,,,,,,,,,,,,,,
Borderline Personality Disorder,difficulty_controlling_anger,Count to 10 or use grounding techniques before reacting.,,,,,,,,,,,,,,,,,,,,,,,,,
Borderline Personality Disorder,extreme_sensitivity_to_criticism,Reframe feedback through positive affirmations and cognitive restructuring.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Identity Disorder (DID),presence_of_two_or_more_distinct_identities,Establish a daily routine and seek regular therapy for identity integration.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Identity Disorder (DID),memory_loss,Use visual cues and journals to track activities and minimize confusion.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Identity Disorder (DID),sudden_shift_in_mood,Track mood fluctuations and use grounding exercises (like the 5-4-3-2-1 method).,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Identity Disorder (DID),feeling_detached_from_oneself,"Practice grounding through touch, scent, or temperature shifts.",,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Identity Disorder (DID),feeling_disconnected_from_surroundings,Engage in mindfulness and sensory-awareness exercises daily.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Identity Disorder (DID),blackouts,Ensure a safe home environment and avoid triggers like alcohol or stress.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Identity Disorder (DID),hearing_voices,Keep a thought journal and consult mental health professionals regularly.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Identity Disorder (DID),panic,Use breathing exercises and carry a “calm kit” with comforting items.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Identity Disorder (DID),suicidal_thoughts,Have an emergency contact list and access to crisis helplines ready.,,,,,,,,,,,,,,,,,,,,,,,,,
Dissocative Identity Disorder (DID),difficulty_functioning_in_daily_life,Break tasks into manageable steps and use visual to-do lists.,,,,,,,,,,,,,,,,,,,,,,,,,
Generalized Anxiety Disorder (GAD),nausea,Avoid skipping meals and try ginger or peppermint tea to ease symptoms.,,,,,,,,,,,,,,,,,,,,,,,,,
Generalized Anxiety Disorder (GAD),feeling_on_edge,"Schedule calming breaks (e.g., breathing, music) during the day.",,,,,,,,,,,,,,,,,,,,,,,,,
Generalized Anxiety Disorder (GAD),feeling_easily_tired,Prioritize sleep hygiene and reduce screen exposure before bed.,,,,,,,,,,,,,,,,,,,,,,,,,
Generalized Anxiety Disorder (GAD),mind_going_blank,Practice short mindfulness or mental rehearsal before tasks.,,,,,,,,,,,,,,,,,,,,,,,,,
Generalized Anxiety Disorder (GAD),iritability,Use cooling-off techniques like walking or journaling when irritated.,,,,,,,,,,,,,,,,,,,,,,,,,
Generalized Anxiety Disorder (GAD),muscle_tension,Stretch regularly or practice yoga for muscle relaxation.,,,,,,,,,,,,,,,,,,,,,,,,,
Generalized Anxiety Disorder (GAD),sleep_disturbance,Set consistent sleep/wake times and limit caffeine in the evening.,,,,,,,,,,,,,,,,,,,,,,,,,
Generalized Anxiety Disorder (GAD),headache,Stay hydrated and take regular screen breaks.,,,,,,,,,,,,,,,,,,,,,,,,,
Generalized Anxiety Disorder (GAD),overthinking,Use the “thought-stopping” method and write thoughts in a worry journal.,,,,,,,,,,,,,,,,,,,,,,,,,
Generalized Anxiety Disorder (GAD),stomachaches,Avoid spicy/greasy foods and practice mindful breathing during meals.,,,,,,,,,,,,,,,,,,,,,,,,,
Substance use disorder,strong_cravings,"Distract yourself with engaging activities like hobbies, exercise, or calling a support person.",,,,,,,,,,,,,,,,,,,,,,,,,
Substance use disorder,inability_to_control,Keep a craving diary and involve an accountability partner or support group.,,,,,,,,,,,,,,,,,,,,,,,,,
Substance use disorder,using_more_of_the _substance,Set clear usage boundaries and avoid high-risk situations or triggers.,,,,,,,,,,,,,,,,,,,,,,,,,
Substance use disorder,spending_a_lot_of_time_recovering_from_the_substance,"Follow a structured daily routine with positive, substance-free activities.",,,,,,,,,,,,,,,,,,,,,,,,,
Substance use disorder,neglecting_responsibilites,Use a planner or calendar app with reminders for tasks and appointments.,,,,,,,,,,,,,,,,,,,,,,,,,
Substance use disorder,continued_use_despite_social_problems,Join a peer support group like SMART Recovery or NA for encouragement.,,,,,,,,,,,,,,,,,,,,,,,,,
Substance use disorder,giving_up_important_activites,Gradually reintroduce hobbies and social activities that were previously enjoyed.,,,,,,,,,,,,,,,,,,,,,,,,,
Substance use disorder,tolerance,Consult a healthcare provider for safe and monitored usage adjustments.,,,,,,,,,,,,,,,,,,,,,,,,,
Substance use disorder,withdrawal_symptoms,Seek medical advice before stopping substance use and use tapering plans.,,,,,,,,,,,,,,,,,,,,,,,,,
Substance use disorder,physical_and_psychological_problems,Engage in integrated care—address both mental and physical symptoms through therapy and regular checkups.,,,,,,,,,,,,,,,,,,,,,,,,,
Attention Defict Hyperactivity Disorder (ADHD),difficulty_sustaining_attention,"Break tasks into short, timed intervals (e.g., Pomodoro technique).",,,,,,,,,,,,,,,,,,,,,,,,,
Attention Defict Hyperactivity Disorder (ADHD),easily_distracted,Use noise-canceling headphones and a clutter-free workspace.,,,,,,,,,,,,,,,,,,,,,,,,,
Attention Defict Hyperactivity Disorder (ADHD),forgetfulness_in_daily_activities,Set digital reminders and use daily checklists.,,,,,,,,,,,,,,,,,,,,,,,,,
Attention Defict Hyperactivity Disorder (ADHD),poor_organizational_skill,Use color-coded folders and apps for task prioritization.,,,,,,,,,,,,,,,,,,,,,,,,,
Attention Defict Hyperactivity Disorder (ADHD),frequently_losing_items,Assign fixed storage spots and label commonly used items.,,,,,,,,,,,,,,,,,,,,,,,,,
Attention Defict Hyperactivity Disorder (ADHD),fidgeting,"Use discreet fidget tools (stress balls, textured objects) to stay focused.",,,,,,,,,,,,,,,,,,,,,,,,,
Attention Defict Hyperactivity Disorder (ADHD),inability_to_stay_seated,Incorporate movement breaks or standing tasks during long periods.,,,,,,,,,,,,,,,,,,,,,,,,,
Attention Defict Hyperactivity Disorder (ADHD),excessive_talking,Practice active listening with cues like “wait 5 seconds before replying.”,,,,,,,,,,,,,,,,,,,,,,,,,
Attention Defict Hyperactivity Disorder (ADHD),interrupting_others,Use visual or tactile cues (like tapping fingers) to wait your turn.,,,,,,,,,,,,,,,,,,,,,,,,,
Attention Defict Hyperactivity Disorder (ADHD),difficulty_being_patient,Use countdown or self-reward strategies while waiting.,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Disorder,marked_distress_out_of_proportion_to_the_severity_of_the_stressor,Practice cognitive reframing and seek counseling to gain perspective.,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Disorder,significant_impairment_in_social_or_occupational_functioning,Create a structured daily plan and set achievable tasks.,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Disorder,frequent_crying,Engage in expressive activities like journaling or talking to a trusted person.,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Disorder,excessive_worry_related_to_the_stressor,Practice mindfulness meditation or breathing techniques daily.,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Disorder,trouble_concentrating,Break tasks into short intervals and minimize distractions.,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Disorder,changes_in_appetite,"Eat small, regular, balanced meals and monitor changes.",,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Disorder,insomnia ,Follow a consistent bedtime routine and limit screen time before sleep.,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Disorder,anger_outbrusts,Practice “stop and breathe” technique when overwhelmed.,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Disorder,withdrawal_from_social_support,Reconnect gradually with supportive people in non-demanding settings.,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Disorder,feelings_of_hopelessness,Engage in goal-setting and talk to a therapist about emotions.,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,difficulty_falling_asleep,Create a relaxing pre-sleep routine with no screens or stimulants.,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,difficulty_staying_asleep,Avoid caffeine late in the day and try breathing techniques upon waking.,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,waking_up_too_early,Block out light/noise and try relaxation techniques to return to sleep.,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,daytime_fatigue,Take short power naps (max 20 mins) and schedule light exercise.,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,mood_disturbance_due_to_poor_sleep,Track sleep and mood patterns and discuss with a mental health professional.,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,memory_problems,"Use memory aids like notes and get consistent, quality sleep.",,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,tension_headaches,Do gentle neck stretches and stay hydrated throughout the day.,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,sleep_dissatisfaction_despite_adequate_opportunity,Avoid heavy meals or screens before bed; review sleep hygiene.,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,worry_about_sleep_problems,Use cognitive-behavioral strategies or guided sleep meditations.,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,impaired_daytime_functioning ,"Optimize your schedule for rest, breaks, and physical activity.",,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorder,difficulty_in_social_intercation,Practice social skills through structured peer groups or therapy.,,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorder,difficulty_in_maintaining_eye_contact,Encourage gradual exposure through games or mirror exercises.,,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorder,repetitive_behaviors,Use visual schedules and introduce alternative coping strategies.,,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorder,intense_focus_on_specific_interests,Integrate focused interests into learning or social activities.,,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorder,difficulty_understanding_non-verbal_cues,Use visual aids and role-play facial expressions and gestures.,,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorder,resistance_to_change,Prepare for transitions using countdowns and visual routines.,,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorder,delayed_speech,Engage in speech therapy and use alternative communication tools.,,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorder,hypersensitivity_to_sensory_stimuli,Provide calming environments and allow the use of sensory tools.,,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorder,difficulty_making_friends,Facilitate supervised social play and structured group activities.,,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorder,repeating_words,Use repetition as a communication cue and guide toward functional phrases.,,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Depressive Disorder,chronic_low_mood,Establish a daily routine with activities that promote small wins.,,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Depressive Disorder,low_self-esteem,Encourage positive self-talk and small achievable goals.,,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Depressive Disorder,feelings_of_hopelessness,Practice gratitude journaling and seek cognitive therapy.,,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Depressive Disorder,fatigue,Encourage light exercise like walking and maintain a consistent sleep cycle.,,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Depressive Disorder,poor_appetite,"Eat small, regular, nutrient-rich meals throughout the day.",,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Depressive Disorder,sleep_disturbances,Maintain strict sleep hygiene and limit late-night screen exposure.,,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Depressive Disorder,difficulty_concentrating,Break tasks into small parts and remove distractions.,,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Depressive Disorder,social_withdrawal,Reconnect gradually with supportive friends or low-pressure groups.,,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Depressive Disorder,difficulty_making_decisions,Use decision trees or talk through options with a support person.,,,,,,,,,,,,,,,,,,,,,,,,,
Persistent Depressive Disorder,irritability,Practice deep breathing or grounding techniques during frustration.,,,,,,,,,,,,,,,,,,,,,,,,,
Major Depressive Disorder,depressed_mood_most_of_the_day,Maintain a daily mood journal and engage in regular physical activity.,,,,,,,,,,,,,,,,,,,,,,,,,
Major Depressive Disorder,loss_of_interest,"Reintroduce previously enjoyed hobbies in small, manageable ways.",,,,,,,,,,,,,,,,,,,,,,,,,
Major Depressive Disorder,appetite_change,Track meals and establish consistent eating schedules.,,,,,,,,,,,,,,,,,,,,,,,,,
Major Depressive Disorder,insomnia,Practice sleep hygiene and create a calming pre-sleep routine.,,,,,,,,,,,,,,,,,,,,,,,,,
Major Depressive Disorder,fatigue,"Balance activity with rest and set small, achievable goals.",,,,,,,,,,,,,,,,,,,,,,,,,
Major Depressive Disorder,feeling_of_worthless,Engage in positive self-affirmation exercises and talk to a counselor.,,,,,,,,,,,,,,,,,,,,,,,,,
Major Depressive Disorder,diminished_ability_to_think,Use concentration aids like checklists and take frequent mental breaks.,,,,,,,,,,,,,,,,,,,,,,,,,
Major Depressive Disorder,retardation,Encourage low-pressure physical activity like walking or stretching.,,,,,,,,,,,,,,,,,,,,,,,,,
Major Depressive Disorder,recurrent_thoughts_of_death,Establish a safety plan and stay connected to a mental health professional.,,,,,,,,,,,,,,,,,,,,,,,,,
Major Depressive Disorder,withdrawal_from_social_life,Reconnect slowly with supportive people through short conversations or walks.,,,,,,,,,,,,,,,,,,,,,,,,,
Sepration Anxiety Disorder,intense_fear_of_being_away_from_attachment_figures,Practice short periods of separation with reassurance and comfort items.,,,,,,,,,,,,,,,,,,,,,,,,,
Sepration Anxiety Disorder,excessive_distress_when_anticipating_sepration,"Use gradual exposure techniques and coping visuals (calendars, countdowns).",,,,,,,,,,,,,,,,,,,,,,,,,
Sepration Anxiety Disorder,persistent_worry_about_losing_attachment_figures,Reinforce safety and predictability through routines and communication.,,,,,,,,,,,,,,,,,,,,,,,,,
Sepration Anxiety Disorder,reluctance,Use gentle encouragement and reward for independent actions.,,,,,,,,,,,,,,,,,,,,,,,,,
Sepration Anxiety Disorder,fear_of_being_alone,"Introduce solo activities in safe, supervised environments.",,,,,,,,,,,,,,,,,,,,,,,,,
Sepration Anxiety Disorder,nightmares_involving_sepration_themes,Maintain a consistent bedtime routine and use calming nighttime rituals.,,,,,,,,,,,,,,,,,,,,,,,,,
Sepration Anxiety Disorder,physical_complaints_when_seprated,Validate feelings and practice distraction techniques like breathing exercises.,,,,,,,,,,,,,,,,,,,,,,,,,
Sepration Anxiety Disorder,difficulty_sleeping_without_attachment_figure_nearby,"Use comfort items (e.g., stuffed toy, voice recording) to ease separation at bedtime.",,,,,,,,,,,,,,,,,,,,,,,,,
